Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
2860,251.757855,-1.896317,251.757858,-1.896304,1051,1047,1050.931,1047.232,1,+491.058,1.0000,+28.7994,D.N.,-6.7278,+0.0637,0,B,9.205303,9.237347,9.728802,8.962873,10.401971,0.000000,3.684888,1.852910,5,5,5,0,8,15,79.04,0,503,13.91,/Users/spicyboiii/Desktop/M12_V.fits
2861,251.755636,-1.896261,251.755599,-1.896220,1091,1048,1091.679,1048.741,1,+2517.20,1.0000,+52.5568,D.N.,-8.5023,+0.0227,0,B,8.884926,9.484121,8.862621,9.242515,8.998683,0.000000,1.560444,1.579525,5,5,5,0,8,15,79.04,0,512,3.49,/Users/spicyboiii/Desktop/M12_V.fits
2862,251.766561,-1.896317,251.766554,-1.896304,894,1047,894.131,1047.230,1,+461.114,1.0000,+26.0280,D.N.,-6.6595,+0.0613,0,B,8.765870,8.722871,8.955240,8.736146,9.094661,0.000000,1.587916,1.483661,5,5,5,0,8,15,79.04,0,510,1.15,/Users/spicyboiii/Desktop/M12_V.fits
2863,251.765008,-1.896206,251.764972,-1.896202,922,1049,922.662,1049.073,1,+4296.80,1.0000,+67.9164,D.N.,-9.0829,+0.0172,0,B,9.302403,9.308060,9.456068,8.846452,9.709709,0.000000,2.207005,1.790934,5,5,5,0,8,15,79.04,0,505,3.53,/Users/spicyboiii/Desktop/M12_V.fits
2864,251.738445,-1.896317,251.738437,-1.896286,1401,1047,1401.139,1047.544,1,+327.265,1.0000,+22.2434,D.N.,-6.2872,+0.0738,0,B,8.728199,9.523784,8.640259,8.426947,8.751167,0.000000,1.390182,1.305995,5,5,5,0,8,15,79.04,0,512,3.20,/Users/spicyboiii/Desktop/M12_V.fits
2865,251.736005,-1.896095,251.736047,-1.896106,1445,1051,1444.245,1050.799,1,+2483.91,1.0000,+52.4939,D.N.,-8.4878,+0.0229,0,B,9.121201,8.975265,9.246457,8.630568,9.482899,0.000000,2.106454,1.662046,5,5,5,0,8,15,79.04,0,508,3.66,/Users/spicyboiii/Desktop/M12_V.fits
2866,251.789409,-1.895984,251.789766,-1.895962,475,1053,475.563,1053.396,1,+8872.11,1.0000,+96.9886,D.N.,-9.8701,+0.0119,0,B,11.078740,10.251104,12.302252,10.051193,13.409772,0.000000,5.341666,2.328828,5,5,5,0,8,15,79.04,0,502,3.26,/Users/spicyboiii/Desktop/M12_V.fits
2867,251.789409,-1.895984,251.789766,-1.895962,482,1059,475.648,1053.401,1,+8872.80,1.0000,+96.9922,D.N.,-9.8702,+0.0119,0,B,11.078740,10.251104,12.302252,10.121412,13.409772,0.000000,5.341666,2.328828,5,5,5,0,8,15,79.04,0,502,3.97,/Users/spicyboiii/Desktop/M12_V.fits
2868,251.784862,-1.896039,251.784842,-1.896016,564,1052,564.353,1052.432,1,+3573.71,1.0000,+68.8257,D.N.,-8.8828,+0.0209,0,B,10.492754,9.143685,13.707194,9.448410,17.739227,0.000000,11.271428,3.436353,5,5,5,0,8,15,79.04,0,504,3.24,/Users/spicyboiii/Desktop/M12_V.fits
2869,251.744212,-1.895596,251.744194,-1.895594,1297,1060,1297.337,1060.033,1,+106812,1.0000,+332.134,D.N.,-12.5716,+0.0034,0,B,15.063413,13.486198,17.340612,9.008234,18.562836,0.000000,6.630908,5.963323,5,5,5,0,8,15,79.04,0,506,3.23,/Users/spicyboiii/Desktop/M12_V.fits
2870,251.814142,-1.895817,251.814152,-1.895802,36,1056,35.821,1056.281,1,+2509.70,1.0000,+53.1451,D.N.,-8.4991,+0.0230,0,B,9.821599,9.326486,10.115390,9.366871,10.379103,0.000000,2.327117,1.786629,5,5,5,0,8,15,79.04,0,502,3.39,/Users/spicyboiii/Desktop/M12_V.fits
2871,251.716984,-1.895928,251.716989,-1.895947,1788,1054,1787.909,1053.664,1,+754.099,1.0000,+30.9750,D.N.,-7.1936,+0.0446,0,B,8.464850,8.254053,8.487189,8.245536,8.603410,0.000000,1.410729,1.446858,5,5,5,0,8,15,79.04,0,515,3.29,/Users/spicyboiii/Desktop/M12_V.fits
2872,251.775767,-1.895873,251.775743,-1.895846,728,1055,728.423,1055.496,1,+2459.25,1.0000,+51.7766,D.N.,-8.4770,+0.0229,0,B,9.015917,8.405538,9.084674,8.885975,9.215295,0.000000,1.547583,1.502887,5,5,5,0,8,15,79.04,0,515,3.49,/Users/spicyboiii/Desktop/M12_V.fits
2873,251.813421,-1.895873,251.813440,-1.895848,49,1055,48.662,1055.443,1,+596.707,1.0000,+34.4901,D.N.,-6.9394,+0.0628,0,B,10.186278,10.167333,11.550077,9.515125,13.004018,0.000000,5.980925,2.452248,5,5,5,0,8,15,79.04,0,502,3.29,/Users/spicyboiii/Desktop/M12_V.fits
2874,251.804604,-1.895873,251.804577,-1.895864,208,1055,208.474,1055.153,1,+860.356,1.0000,+47.0942,D.N.,-7.3367,+0.0594,0,B,10.674459,10.982647,14.090684,9.909425,18.462587,0.000000,11.941659,3.711450,5,5,5,0,8,15,79.04,0,503,2.96,/Users/spicyboiii/Desktop/M12_V.fits
2875,251.786636,-1.895818,251.786355,-1.895558,532,1056,537.062,1060.686,1,+11759.8,1.0000,+110.327,D.N.,-10.1760,+0.0102,0,B,11.080544,10.877226,11.353940,9.933599,11.580592,0.000000,2.282201,2.046697,5,5,5,0,8,15,79.04,0,506,3.26,/Users/spicyboiii/Desktop/M12_V.fits
2876,251.786359,-1.895596,251.786356,-1.895557,537,1060,537.051,1060.696,1,+11760.1,1.0000,+110.329,D.N.,-10.1760,+0.0102,0,B,11.080544,10.877226,11.353940,9.894897,11.580592,0.000000,2.282201,2.046697,5,5,5,0,8,15,79.04,0,506,3.49,/Users/spicyboiii/Desktop/M12_V.fits
2877,251.767670,-1.895873,251.767748,-1.895801,874,1055,872.603,1056.307,1,+505.759,1.0000,+27.5554,D.N.,-6.7599,+0.0592,0,B,8.756848,8.344264,8.900994,8.743217,9.054587,0.000000,1.662298,1.607067,5,5,5,0,8,15,79.04,0,513,13.05,/Users/spicyboiii/Desktop/M12_V.fits
2878,251.767837,-1.895707,251.767750,-1.895801,871,1058,872.553,1056.312,1,+505.759,1.0000,+27.5554,D.N.,-6.7599,+0.0592,0,B,8.756848,8.344264,8.900994,8.751723,9.054587,0.000000,1.662298,1.607067,5,5,5,0,8,15,79.04,0,513,3.74,/Users/spicyboiii/Desktop/M12_V.fits
2879,251.806046,-1.895762,251.806062,-1.895734,182,1057,181.701,1057.510,1,+2733.56,1.0000,+57.0839,D.N.,-8.5918,+0.0227,0,B,10.636492,9.610532,11.424113,9.896767,12.043258,0.000000,3.815567,2.309019,5,5,5,0,8,15,79.04,0,505,3.43,/Users/spicyboiii/Desktop/M12_V.fits
2880,251.806046,-1.895263,251.806023,-1.895250,182,1066,182.409,1066.230,1,+908.477,1.0000,+47.4942,D.N.,-7.3958,+0.0568,0,B,11.601817,11.911637,14.049186,9.740253,16.940756,0.000000,9.475696,3.695910,5,5,5,0,8,15,79.04,0,501,3.59,/Users/spicyboiii/Desktop/M12_V.fits
2881,251.795953,-1.895707,251.795916,-1.895713,364,1058,364.662,1057.891,1,+699.853,1.0000,+32.7890,D.N.,-7.1125,+0.0509,0,B,10.240618,9.300556,10.587401,9.768507,10.928121,0.000000,2.710245,1.950616,5,5,5,0,8,15,79.04,0,501,3.92,/Users/spicyboiii/Desktop/M12_V.fits
2882,251.810482,-1.895540,251.810476,-1.895545,102,1061,102.116,1060.908,1,+3055.27,1.0000,+58.6313,D.N.,-8.7126,+0.0208,0,B,9.925199,10.154113,10.078639,9.640597,10.293309,0.000000,2.093289,1.972035,5,5,5,0,8,15,79.04,0,509,3.32,/Users/spicyboiii/Desktop/M12_V.fits
2883,251.805103,-1.895485,251.805060,-1.895482,199,1062,199.764,1062.043,1,+3653.33,1.0000,+65.2723,D.N.,-8.9067,+0.0194,0,B,10.986117,10.237682,11.943977,9.839547,12.596535,0.000000,4.005789,2.479638,5,5,5,0,8,15,79.04,0,498,3.34,/Users/spicyboiii/Desktop/M12_V.fits
2884,251.793457,-1.895596,251.793429,-1.895594,409,1060,409.511,1060.040,1,+617.371,1.0000,+29.0832,D.N.,-6.9764,+0.0511,0,B,9.716676,10.138625,9.753829,9.829248,9.875562,0.000000,1.547322,1.526095,5,5,5,0,8,15,79.04,0,515,3.49,/Users/spicyboiii/Desktop/M12_V.fits
2885,251.778650,-1.895541,251.778601,-1.895537,676,1061,676.894,1061.073,1,+1297.07,1.0000,+38.7762,D.N.,-7.7824,+0.0325,0,B,9.029894,9.010698,9.116377,8.863041,9.239504,0.000000,1.504827,1.450688,5,5,5,0,8,15,79.04,0,514,3.83,/Users/spicyboiii/Desktop/M12_V.fits
2886,251.756745,-1.895430,251.756666,-1.895336,1071,1063,1072.429,1064.686,1,+4983.77,1.0000,+72.9065,D.N.,-9.2439,+0.0159,0,B,9.294283,9.671849,9.417912,9.033779,9.592467,0.000000,1.823427,1.836453,5,5,5,0,8,15,79.04,0,509,3.71,/Users/spicyboiii/Desktop/M12_V.fits
2887,251.756635,-1.895264,251.756672,-1.895337,1073,1066,1072.326,1064.685,1,+4983.17,1.0000,+72.9024,D.N.,-9.2438,+0.0159,0,B,9.294283,9.671849,9.417912,9.026129,9.592467,0.000000,1.823427,1.836453,5,5,5,0,8,15,79.04,0,509,1.04,/Users/spicyboiii/Desktop/M12_V.fits
