Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
2832,251.783529,-1.897314,251.783512,-1.897256,588,1029,588.310,1030.047,1,+359.350,1.0000,+23.4207,D.N.,-6.3888,+0.0708,0,B,5.377143,6.109404,5.411589,6.009073,5.578907,0.000000,1.357390,1.387934,5,5,5,0,8,15,79.04,0,512,0.28,C:\Users\lrf44\Desktop\M12_B.fits
2833,251.743437,-1.897314,251.743419,-1.897320,1311,1029,1311.331,1028.902,1,+108.607,1.0000,+18.1609,D.N.,-5.0896,+0.1815,0,B,5.232284,5.244823,5.207260,4.848205,5.403316,0.000000,1.443725,1.500834,5,5,5,0,8,15,79.04,0,512,2.33,C:\Users\lrf44\Desktop\M12_B.fits
2834,251.790960,-1.897203,251.790947,-1.897154,454,1031,454.242,1031.892,1,+333.392,1.0000,+22.7419,D.N.,-6.3074,+0.0741,0,B,5.503195,5.923574,5.519296,5.871592,5.706630,0.000000,1.451585,1.368579,5,5,5,0,8,15,79.04,0,514,1.08,C:\Users\lrf44\Desktop\M12_B.fits
2835,251.760295,-1.897259,251.760235,-1.897251,1007,1030,1008.068,1030.152,1,+149.225,1.0000,+19.5435,D.N.,-5.4346,+0.1422,0,B,5.155988,5.620349,5.197305,4.897956,5.394000,0.000000,1.444754,1.539981,5,5,5,0,8,15,79.04,0,514,4.67,C:\Users\lrf44\Desktop\M12_B.fits
2836,251.774158,-1.897204,251.774143,-1.897168,757,1031,757.260,1031.645,1,+98.8782,1.0000,+16.4544,D.N.,-4.9878,+0.1807,0,B,5.295804,5.470050,5.190631,5.824365,5.374862,0.000000,1.396532,1.322907,5,5,5,0,8,15,79.04,0,512,3.65,C:\Users\lrf44\Desktop\M12_B.fits
2837,251.761570,-1.897037,251.761555,-1.896971,984,1034,984.280,1035.189,1,+4287.65,1.0000,+67.1825,D.N.,-9.0805,+0.0170,0,B,5.830195,5.239634,5.934887,5.196803,6.155231,0.000000,1.633767,1.516731,5,5,5,0,8,15,79.04,0,513,4.71,C:\Users\lrf44\Desktop\M12_B.fits
2838,251.801274,-1.897092,251.801269,-1.897121,268,1033,268.088,1032.490,1,+123.671,1.0000,+38.4312,D.N.,-5.2307,+0.3374,0,B,6.453026,5.664897,8.386515,5.841342,10.221633,0.000000,5.849459,3.705678,5,5,5,0,8,15,79.04,0,503,3.45,C:\Users\lrf44\Desktop\M12_B.fits
2839,251.795119,-1.897092,251.795127,-1.897050,379,1033,378.846,1033.761,1,+609.832,1.0000,+29.4360,D.N.,-6.9630,+0.0524,0,B,5.894380,5.116897,6.002382,5.688169,6.298152,0.000000,1.909280,1.614400,5,5,5,0,8,15,79.04,0,505,4.44,C:\Users\lrf44\Desktop\M12_B.fits
2840,251.794343,-1.897092,251.794314,-1.897043,393,1033,393.508,1033.887,1,+528.742,1.0000,+27.6717,D.N.,-6.8081,+0.0568,0,B,5.526917,5.131903,5.708093,5.685754,5.971918,0.000000,1.757146,1.551913,5,5,5,0,8,15,79.04,0,507,4.55,C:\Users\lrf44\Desktop\M12_B.fits
2841,251.769943,-1.896982,251.769888,-1.896982,833,1035,834.003,1034.997,1,+751.893,1.0000,+31.0636,D.N.,-7.1904,+0.0449,0,B,5.265128,6.034373,5.327352,5.907040,5.530448,0.000000,1.486432,1.473182,5,5,5,0,8,15,79.04,0,513,4.77,C:\Users\lrf44\Desktop\M12_B.fits
