15.53,SourceIntensityB,,SourceIntensityV,,Bmag,Vmag
,810.438,,1934.11,,19.43080315,19.11502308
,1559.05,,5931.97,,18.72045253,17.89822864
,1558.91,,5931.97,,18.72055003,17.89822864
,488.513,,1701.67,,19.98041233,19.25403765
,25630.1,,55563.2,,15.68072689,15.46925788
,25626.8,,55559.8,,15.68086669,15.46932432
,672.322,,2486.23,,19.63365933,18.84237275
,526.752,,2081.51,,19.89858716,19.03527975
,7704.46,,30453.9,,16.98574713,16.12211871
,157.067,,667.6,,21.21239027,20.26993519
,363.786,,1426.46,,20.30048769,19.44557701
,8663.94,,40171.5,,16.85831405,15.82143089
,856.88,,3139.77,,19.37030263,18.58898142
,855.769,,3133.47,,19.37171127,18.59116216
,452.17,,1835.39,,20.06434828,19.17190511
,98560,,853747,,14.2183509,12.50290303
,9032.19,,43448.4,,16.81311998,15.73629154
,3154.05,,12847,,17.95543121,17.0592217
,3175.34,,12862.7,,17.94812706,17.05789566
,222.357,,885.998,,20.83497563,19.96264415
,7704.1,,825.735,,16.98579786,20.03912428
,299.921,,1109.72,,20.51008545,19.71819248
,300.276,,1108.79,,20.50880109,19.71910276
,813.481,,3158.31,,19.42673411,18.58258912
,143.101,,639.123,,21.31349597,20.31726489
,565.235,,2003.11,,19.82203003,19.07696401
,112459,,1.16E+06,,14.0751171,12.16607309
,82.7122,,469.072,,21.90867871,20.65312723
,462.14,,1690.08,,20.04066874,19.26145785
,98492.7,,853612,,14.21909253,12.50307473
,3910.37,,17432.6,,17.72205801,16.7278206
,3910.03,,17432.6,,17.72215242,16.7278206
,252.91,,1007.84,,20.69518764,19.82274703
,136.665,,625.849,,21.36345938,20.3400521
,6742.57,,30037.2,,17.13053898,16.13707739
,98565.1,,853747,,14.21829472,12.50290303
,707.699,,2556.93,,19.57798119,18.81192891
,156.789,,768.785,,21.21431367,20.11671376
,264.21,,1070.15,,20.64772951,19.75761437
,115.517,,579.056,,21.54598789,20.42442459
,3213.76,,15831.6,,17.93506904,16.83241399
,25603.8,,55561,,15.68184158,15.46930087
,346.001,,1498.49,,20.35490926,19.39209139
,163.677,,710.565,,21.1676335,20.20221648
,461.36,,1695.15,,20.04250279,19.25820567
,16.9378,,272.432,,23.63046014,21.24308071
,1245.14,,4771.4,,18.96455718,18.13461144
,32144.9,,179718,,15.43482244,14.19474707
,5862.89,,26754.8,,17.28232328,16.26272174
,5886.94,,26863.2,,17.27787862,16.25833164
,5890.88,,26745.1,,17.2771522,16.26311544
,19047.8,,39237.4,,16.00299058,15.84697545
,4713.18,,14552.8,,17.51931758,16.92385961
,1115.83,,3910.86,,19.08360756,18.35054533
,975.414,,4027.95,,19.22963018,18.31851583
,973.182,,4026.1,,19.23211747,18.31901461
,178.517,,797.822,,21.07340369,20.07646099
,254.234,,1235.79,,20.68951856,19.60136432
,254.363,,1233.66,,20.68896779,19.6032373
,807.98,,797.845,,19.43410111,20.07642969
,3237.58,,14490,,17.92705137,16.92855504
,15508.7,,61813.7,,16.22616415,15.35351416
,810.353,,797.758,,19.43091703,20.07654809
,178.517,,806.935,,21.07340369,20.06412963
,4860.65,,21913.6,,17.48586677,16.47944168
,4858.19,,21900.8,,17.4864164,16.48007606
,297.955,,1454.69,,20.51722595,19.42429987
